instruccion,"json_output"
"Necesito el contrato constitutiva_v1. Usa la información del expediente 126.","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"Hazme un favor, el poder_v1 del expediente 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Requiero el constitutiva_v1 del exp. 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"contrato poder_v1 - expediente 124","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"contrato constitutiva_v1 - expediente 126","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"Generar poder_v1 con los datos del expediente 123.","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Elabora el documento constitutiva_v1 con la info del folio 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"Poder_V1 para el folio 124","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"Constitutiva_V1 para el folio 126","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"usa la info del expediente 123 en el machote de poder_v1","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"el machote de constitutiva_v1 con el expediente 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"vamos a hacer un poder_v1 con el exp 124","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"Ahora una constitutiva_v1 con el exp 126","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"El expediente es el 123, el contrato el poder_v1","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"El expediente es el 125, el contrato el constitutiva_v1","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"dame el poder_v1 para el expediente 124 porfa","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"dame el constitutiva_v1 para el expediente 126 porfa","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"crea poder_v1 exp_123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"crea constitutiva_v1 exp_125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"junta el expediente 124 con la plantilla poder_v1","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"junta el expediente 126 con la plantilla constitutiva_v1","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"Genera el documento por favor. Plantilla poder_v1, datos del expediente 123.","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Genera el documento por favor. Plantilla constitutiva_v1, datos del expediente 125.","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"expediente: 124, contrato: poder_v1","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"expediente: 126, contrato: constitutiva_v1","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"genra el doc poder_v1 con el exp. 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"preparar constitutiva_v1 con el expedient 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"Elabora el contrato compraventa_v1 con el expediente 123","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""123""}"
"Necesito un contrato de compra-venta, el v1, para el exp 124","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""124""}"
"Genera una compraventa_v1 con los datos del expediente 125","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""125""}"
"Para el expediente 126, el documento es compraventa_v1","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""126""}"
"Hazme el contrato de compraventa_v1 con la info del folio 123","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""123""}"
"Quiero una compraventa v1 con el expediente 124, por favor","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""124""}"
"compraventa_v1 para el cliente del expediente 125","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""125""}"
"Ok, ahora el machote de compraventa_v1 con el exp 126","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""126""}"
"prepara el doc compraventa_v1, usa el folio 123","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""123""}"
"El documento es compraventa_v1 y el expediente es el 124","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""124""}"
"Crea el contrato de compraventa_v1 con la información del exp 125","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""125""}"
"CV_v1 - exp 126","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""126""}"
"Por favor, el contrato de compraventa v1 del expediente 123","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""123""}"
"Requiero la compraventa_v1 del exp. 124","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""124""}"
"Usa el expediente 125 para generar el machote de compraventa_v1","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""125""}"
"expediente 126, contrato de compraventa_v1","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""126""}"
"Generar compraventa_v1 con los datos del expediente 123.","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""123""}"
"exp: 124, doc: compraventa_v1","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""124""}"
"Elaborar CV_V1, expediente 125","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""125""}"
"junta el expediente 126 con la plantilla de compraventa_v1","{""contrato_id"": ""compraventa_v1"", ""expediente_id"": ""126""}"
